,Alanine (g),"Alcohol, ethyl (g)",Arginine (g),Ash (g),Aspartic acid (g),Beta-sitosterol (g),Betaine (g),Butanoic acid (g),Caffeine (g),"Calcium, Ca (g)",Calories (g),Campesterol (g),Carbohydrate (g),"Carotene, alpha (g)","Carotene, beta (g)",Cholesterol (g),Choline (g),"Cis,cis,cis-octadecatrienoic n-3 acid (g)","Cis,cis,cis-octadecatrienoic n-6 acid (g)","Cis,cis-eicosadienoic n-6 acid (g)","Cis,cis-octadecadienoic n-6 acid (g)",Cis-hexadecenoic acid (g),Cis-octadecenoic acid (g),"Copper, Cu (g)","Cryptoxanthin, beta (g)",Cystine (g),Decanoic acid (g),Dihydrophylloquinone (g),Docosahexaenoic n-3 acid (g),Docosanoic acid (g),Docosapentaenoic n-3 acid (g),Docosatetraenoic acid (g),Docosenoic acid (g),Docosenoic cis acid (g),Docosenoic trans acid (g),Dodecanoic acid (g),Eicosadienoic acid (g),Eicosadienoic n-3 acid (g),Eicosadienoic n-6 acid (g),Eicosanoic acid (g),Eicosapentaenoic n-3 acid (g),Eicosatetraenoic acid (g),Eicosenoic acid (g),Fat (g),"Fatty acids, total trans (g)","Fatty acids, total trans-monoenoic (g)","Fatty acids, total trans-polyenoic (g)",Fiber (g),"Fluoride, F (g)",Folate (g),Folic acid (g),Fructose (g),Galactose (g),Glucose (dextrose) (g),Glutamic acid (g),Glycine (g),Heptadecanoic acid (g),Heptadecenoic acid (g),Hexadecanoic acid (g),Hexadecenoic acid (g),Hexanoic acid (g),Histidine (g),Hydroxyproline (g),Irans-Octadecadienoic acid (g),"Iron, Fe (g)",Isoleucine (g),Lactose (g),Leucine (g),Lutein + zeaxanthin (g),Lycopene (g),Lysine (g),"Magnesium, Mg (g)",Maltose (g),"Manganese, Mn (g)",Menaquinone-4 (g),Methionine (g),Monounsaturated fatty acids (g),Niacin (g),Octadecadienoic CLAs acid (g),Octadecadienoic acid (g),Octadecanoic acid (g),Octadecatetraenoic acid (g),Octadecatrienoic acid (g),Octadecenoic acid (g),Octanoic acid (g),Pantothenic acid (g),Pentadecanoic acid (g),Pentadecenoic acid (g),Phenylalanine (g),"Phosphorus, P (g)",Phytosterols (g),Polyunsaturated fatty acids (g),"Potassium, K (g)",Proline (g),Protein (g),Riboflavin (g),Saturated fatty acids (g),"Selenium, Se (g)",Serine (g),Serving Size (g),"Sodium, Na (g)",Starch (g),Stigmasterol (g),Sucrose (g),Sugars (g),Tetracosanoic acid (g),Tetracosenoic cis acid (g),Tetradecanoic acid (g),Tetradecenoic acid (g),Theobromine (g),Thiamin (g),Threonine (g),"Tocopherol, alpha (g)","Tocopherol, beta (g)","Tocopherol, delta (g)","Tocopherol, gamma (g)","Tocotrienol, alpha (g)","Tocotrienol, beta (g)","Tocotrienol, delta (g)","Tocotrienol, gamma (g)","Trans,trans-octadecadienoic acid (g)",Trans-hexadecenoic acid (g),Trans-octadecadienoic acid (g),Trans-octadecatrienoic acid (g),Trans-octadecenoic acid (g),Tridecanoic acid (g),Tryptophan (g),Tyrosine (g),Uncosapentaenoic acid (g),Valine (g),Vitamin A (IU),"Vitamin A, RAE (g)",Vitamin B12 (g),Vitamin B6 (g),Vitamin C (g),Vitamin D (IU),Vitamin D2 (ergocalciferol) (g),Vitamin D3 (cholecalciferol) (g),Vitamin E (g),Vitamin K (g),Water (g),"Zinc, Zn (g)"
"Corn grain, white",0.705,0.0,0.47,1.2,0.655,0.0,0.0,0.0,0.0,0.007,0.0,0.0,74.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000314,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768,0.386,0.0,0.0,0.569,0.004,0.0,0.287,0.0,0.0,0.00271,0.337,0.0,1.155,0.0,0.0,0.265,0.127,0.0,0.00048499999999999997,0.0,0.197,1.251,0.003627,0.0,2.097,0.075,0.0,0.065,1.247,0.0,0.000424,0.0,0.0,0.463,0.21,0.0,2.163,0.28700000000000003,0.822,9.42,0.000201,0.667,1.55e-05,0.447,100.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00038500000000000003,0.354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.383,0.0,0.477,0.0,0.0,0.0,0.000622,0.0,0.0,0.0,0.0,0.0,0.0,10.37,0.00221
"Corn grain, yellow",0.705,0.0,0.47,1.2,0.655,0.0,0.0,0.0,0.0,0.007,0.0,0.0,74.26,6.3e-05,9.7e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000314,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.74,0.0,0.0,0.0,7.3,0.0,1.8999999999999998e-05,0.0,0.0,0.0,0.0,1.768,0.386,0.0,0.0,0.569,0.004,0.0,0.287,0.0,0.0,0.00271,0.337,0.0,1.155,0.0013549999999999999,0.0,0.265,0.127,0.0,0.00048499999999999997,0.0,0.197,1.251,0.003627,0.0,2.097,0.075,0.0,0.065,1.247,0.0,0.000424,0.0,0.0,0.463,0.21,0.0,2.163,0.28700000000000003,0.822,9.42,0.000201,0.667,1.55e-05,0.447,100.0,0.035,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.00038500000000000003,0.354,0.00049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.383,0.0,0.477,214.0,1.1e-05,0.0,0.000622,0.0,0.0,0.0,0.0,0.00049,3e-07,10.37,0.00221
"Cornmeal, blue (Navajo)",0.0,0.0,0.0,1.54,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,76.93,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.000218,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.015,5.44,0.0,0.0,0.0,8.7,0.0,5.8e-05,0.0,0.12,0.0,0.16,0.0,0.0,0.0,0.0,0.713,0.003,0.0,0.0,0.0,0.0,0.0029100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.000758,0.0,0.0,1.679,0.00202,0.0,2.404,0.132,0.0,0.0,1.661,0.0,0.00035299999999999996,0.0,0.0,0.0,0.354,0.0,2.465,0.393,0.0,10.4,0.000107,0.886,1.18e-05,0.0,100.0,0.007,63.62,0.0,1.53,1.81,0.0,0.0,0.0,0.0,0.0,0.000285,0.0,0.00073,0.0,0.00037,0.00321,0.00037,0.0,0.0,0.00055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000593,0.0,0.0,0.0,0.0,0.00073,0.0,5.7,0.0029100000000000003
"Cornmeal, white (Navajo)",0.836,0.0,0.474,1.4,0.724,0.0,0.0,0.0,0.0,0.011,0.0,0.0,77.14,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,0.000219,0.0,0.217,0.0,6e-07,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.017,5.04,0.0,0.0,0.0,10.4,0.0,3.2e-05,0.0,0.11,0.0,0.18,2.043,0.399,0.0,0.0,0.671,0.0,0.0,0.292,0.0,0.0,0.00379,0.404,0.0,1.375,0.0,0.0,0.319,0.125,0.0,0.000646,0.0,0.258,1.532,0.0028,0.0,2.024,0.133,0.0,0.054,1.515,0.0,0.0024900000000000005,0.0,0.0,0.543,0.28,0.0,2.078,0.443,0.906,10.99,0.00013700000000000002,0.853,0.0,0.51,100.0,0.004,60.46,0.0,1.16,1.46,0.0,0.0,0.0,0.0,0.0,0.00031,0.345,0.00037,0.0,0.0005200000000000001,0.005059999999999999,0.00058,0.0,0.0,0.00108,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.412,0.0,0.554,0.0,0.0,0.0,0.000583,0.0,0.0,0.0,0.0,0.00037,4e-07,5.42,0.0032400000000000003
"Cornmeal, yellow (Navajo)",0.769,0.0,0.421,1.22,0.662,0.0,0.0,0.0,0.0,0.006,0.0,0.0,72.9,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.000242,0.0,0.184,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.017,5.88,0.0,0.0,0.0,9.4,0.0,3.4e-05,0.0,0.15,0.0,0.22,1.875,0.36,0.0,0.0,0.778,0.0,0.0,0.265,0.0,0.0,0.0029900000000000005,0.37,0.0,1.275,0.0,0.0,0.301,0.107,0.0,0.0006410000000000001,0.0,0.23,2.143,0.0024700000000000004,0.0,2.292,0.219,0.0,0.06,2.126,0.0,0.0005949999999999999,0.0,0.0,0.499,0.225,0.0,2.352,0.322,0.854,9.85,9.3e-05,1.043,6e-06,0.471,100.0,0.004,61.94,0.0,1.2,1.56,0.0,0.0,0.0,0.0,0.0,0.0003,0.307,0.00037,0.0,0.00037,0.004860000000000001,0.00037,0.0,0.0,0.00099,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.294,0.0,0.494,0.0,0.0,0.0,0.00059,0.0,0.0,0.0,0.0,0.00037,2e-07,10.15,0.0031000000000000003
Cornstarch,0.019,0.0,0.012,0.09,0.02,0.0,0.0,0.0,0.0,0.002,0.0,0.0,91.27,0.0,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,5e-05,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.009,0.0,0.0,0.009,0.0,0.0,0.008,0.0,0.0,0.00047,0.01,0.0,0.036,0.0,0.0,0.006,0.003,0.0,5.3e-05,0.0,0.006,0.016,0.0,0.0,0.025,0.001,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.013,0.013000000000000001,0.0,0.025,0.003,0.024,0.26,0.0,0.009,2.8e-06,0.012,100.0,0.009000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.01,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.32,6e-05
"Couscous, dry",0.374,0.0,0.47,0.62,0.521,0.0,0.0,0.0,0.0,0.024,0.0,0.0,77.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000247,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,5.0,0.0,1.9999999999999998e-05,0.0,0.0,0.0,0.0,4.6,0.403,0.0,0.0,0.109,0.002,0.0,0.259,0.0,0.0,0.00108,0.493,0.0,0.872,0.0,0.0,0.245,0.044,0.0,0.0007800000000000001,0.0,0.199,0.089,0.0034900000000000005,0.0,0.24,0.006,0.0,0.012,0.086,0.0,0.0012430000000000002,0.0,0.0,0.62,0.17,0.0,0.252,0.166,1.404,12.76,7.8e-05,0.117,0.0,0.601,100.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.000163,0.337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.163,0.335,0.0,0.544,0.0,0.0,0.0,0.00011,0.0,0.0,0.0,0.0,0.0,0.0,8.56,0.00083
"Crackers, water biscuits",0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.81,0.0,0.0,0.0,0.0097,0.0,0.0,0.0,0.0,0.0,0.0,0.000133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.14,0.0,0.0,0.0,7.1,0.0,2.4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7e-05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,4.043,0.0011539999999999999,0.0,2.353,0.0,0.0,0.104,4.043,0.0,0.0,0.0,0.0,0.0,0.1,0.0,2.457,0.099,0.0,7.14,3.7e-05,0.0,3.13e-05,0.0,100.0,0.5710000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000111,0.0,0.00029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-05,0.0,0.0,0.0,0.0,0.00029,1.8e-06,11.0,0.0006500000000000001
"Cranberry juice cocktail, bottled",0.0,0.0,0.0,0.2,0.0,0.0,0.0001,0.0,0.0,0.003,0.0,0.0,13.52,0.0,4.9999999999999996e-06,0.0,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,6.73e-05,0.0,0.0,4.97,0.0,6.79,0.0,0.0,0.0,0.0,0.007,0.001,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,1.3e-05,0.0,0.0,0.001,0.12,4.8e-05,0.0,0.0,0.019,4.1e-05,0.0,0.035,0.002,0.0,0.023,0.019,0.0,5.2e-05,0.0,0.0,0.0,0.001,0.0,0.059,0.014,0.0,0.0,0.0,0.009,2e-07,0.0,100.0,0.002,0.0,0.0,0.0,11.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0423,0.0,0.0,0.0,0.00022,1e-06,86.17,3e-05
"Cranberry juice, unsweetened",0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,12.2,0.0,2.7e-05,0.0,0.0033,0.0,0.0,0.0,0.0,0.0,0.0,5.5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.1,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.001,0.0,0.0,0.0,0.0,0.00025,0.0,0.0,0.0,6.8e-05,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.023,9.1e-05,0.0,0.042,0.002,0.0,0.028,0.022,0.0,0.0,0.0,0.0,0.0,0.013000000000000001,0.0,0.07,0.077,0.0,0.39,1.8e-05,0.01,1e-07,0.0,100.0,0.002,0.0,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,9e-06,0.0,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,2e-06,0.0,5.2e-05,0.009300000000000001,0.0,0.0,0.0,0.0012,5.0999999999999995e-06,87.13,0.0001
"Cranberry sauce, sweetened, canned",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,40.4,0.0,1.9999999999999998e-05,0.0,0.0038,0.0,0.0,0.0,0.0,0.0,0.0,2.6e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.1,1.8999999999999998e-06,1e-06,0.0,9.75,0.0,17.45,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.00041,0.0,0.0,0.0,4.8e-05,0.0,0.0,0.002,4.45,7.3e-05,0.0,0.0,0.007,0.0001,0.0,0.019,0.002,0.0,0.012,0.007,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.031,0.028,0.0,0.9,2.1000000000000002e-05,0.007,4e-07,0.0,100.0,0.005,0.0,0.0,0.1,31.75,0.0,0.0,0.0,0.0,0.0,1.5e-05,0.0,0.00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,2e-06,0.0,1.4e-05,0.001,0.0,0.0,0.0,0.00093,1.4e-06,58.45,3e-05
"Cream substitute, powdered",0.15,0.0,0.19,2.34,0.339,0.0,0.0001,0.006,0.0,0.002,0.0,0.0,59.29,0.0,0.0,0.0,0.0023,0.019,0.005,0.0,0.2,0.004,4.411,1.8e-05,0.0,0.021,0.879,6.82e-05,0.0,0.052,0.0,0.0,0.0,0.0,0.0,6.764,0.0,0.0,0.0,0.081,0.0,0.0,0.019,32.92,5.541,5.359,0.182,0.0,0.000112,0.0,0.0,0.57,0.0,3.52,1.088,0.096,0.02,0.003,3.146,0.006,0.094,0.142,0.0,0.0,0.00026000000000000003,0.294,0.0,0.473,0.0,0.0,0.385,0.001,3.67,1.1e-05,0.0,0.145,9.796,0.0,0.003,0.382,4.29,0.0,0.026,9.768,1.118,0.00011700000000000001,0.007,0.0,0.257,0.28800000000000003,0.032,0.408,0.669,0.54,2.48,0.0,19.146,0.0,0.295,100.0,0.124,0.0,0.0,0.0,7.77,0.022,0.0,2.666,0.0,0.0,0.0,0.203,0.00126,0.00016,0.0035499999999999998,0.010289999999999999,0.0,0.0,0.0,0.0,0.0,0.002,0.179,0.003,5.357,0.0,0.066,0.274,0.0,0.343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00126,1.6999999999999998e-06,2.98,7.000000000000001e-05
"Cream, cultured, sour",0.116,0.0,0.117,0.51,0.262,0.0,0.0006,0.031,0.0,0.101,0.0,0.0,4.63,0.0,2.4999999999999998e-05,0.059000000000000004,0.0192,0.068,0.006,0.008,0.438,0.294,3.463,1.8e-05,1e-06,0.029,0.378,0.0,0.001,0.011,0.011,0.001,0.0,0.0,0.0,0.447,0.019,0.001,0.018,0.027,0.006,0.025,0.029,19.35,0.796,0.666,0.13,0.0,0.0,6e-06,0.0,0.0,0.0,0.0,0.673,0.076,0.108,0.007,5.154,0.294,0.203,0.092,0.0,0.0,7.000000000000001e-05,0.163,3.41,0.322,4e-06,0.0,0.275,0.01,0.0,1.5e-05,6e-06,0.078,4.594,9.3e-05,0.081,0.648,1.832,0.0,0.074,4.129,0.145,0.000472,0.171,0.0,0.157,0.076,0.0,0.8,0.125,0.31,2.44,0.00016800000000000002,10.14,3.7e-06,0.191,100.0,0.031,0.0,0.0,0.0,3.41,0.006,0.001,1.626,0.134,0.0,2e-05,0.142,0.00038,0.0,0.0,0.0003,2e-05,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.666,0.0,0.042,0.152,0.0,0.195,447.0,0.000124,2.0999999999999997e-07,4.1e-05,0.0009000000000000001,0.0,0.0,0.0,0.00038,1.5e-06,73.07,0.00033
"Cream, half and half, fluid",0.1,0.0,0.073,0.51,0.23,0.0,0.0007,0.247,0.0,0.107,0.0,0.0,4.73,0.0,2.2e-05,0.035,0.0187,0.04,0.0,0.003,0.314,0.205,2.566,9e-06,0.0,0.016,0.303,0.0,0.0,0.004,0.006,0.003,0.0,0.0,0.0,0.351,0.014,0.0,0.014,0.015,0.003,0.018,0.02,10.39,0.464,0.38,0.084,0.0,3e-06,3e-06,0.0,0.0,0.0,0.0,0.629,0.073,0.076,0.025,3.207,0.246,0.202,0.073,0.0,0.0,5e-05,0.16,4.13,0.258,0.0,0.0,0.136,0.01,0.0,5e-06,0.0,0.073,3.32,0.000109,0.069,0.466,1.221,0.0,0.041,2.905,0.127,0.0005390000000000001,0.126,0.0,0.143,0.095,0.0,0.554,0.132,0.332,3.13,0.000194,7.032,3.2e-06,0.104,100.0,0.061,0.0,0.0,0.0,4.13,0.003,0.0,1.148,0.124,0.0,3e-05,0.139,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.083,0.001,0.339,0.0,0.073,0.147,0.0,0.187,354.0,9.7e-05,1.8999999999999998e-07,5e-05,0.0009000000000000001,2.0,0.0,0.0,0.00025,1.3e-06,81.24,0.00039000000000000005
"Cream, heavy whipping, fluid",0.091,0.0,0.066,0.53,0.209,0.0,0.0,0.732,0.0,0.066,0.0,0.0,2.74,0.0,7.2e-05,0.113,0.016800000000000002,0.122,0.002,0.008,0.874,0.547,7.078,1.1e-05,0.0,0.015,0.905,0.0,0.0,0.015,0.02,0.01,0.003,0.003,0.0,1.05,0.041,0.002,0.039,0.047,0.009,0.058,0.065,36.08,1.236,1.0,0.236,0.0,3e-06,4e-06,0.0,0.0,0.0,0.0,0.572,0.066,0.21,0.065,9.298,0.656,0.609,0.066,0.0,0.0,0.0001,0.146,2.92,0.234,0.0,0.0,0.124,0.007,0.0,6e-06,0.0,0.066,9.101,6.4e-05,0.188,1.294,3.572,0.0,0.128,7.968,0.384,0.000495,0.353,0.0,0.13,0.058,0.0,1.57,0.095,0.302,2.84,0.00018800000000000002,23.032,3e-06,0.094,100.0,0.027,0.0,0.0,0.0,2.92,0.009,0.0,3.331,0.344,0.0,2e-05,0.126,0.00092,0.0,0.0,0.00024,8.999999999999999e-05,0.0,0.0,0.0,0.0,0.109,0.232,0.004,0.891,0.0,0.066,0.134,0.0,0.17,1470.0,0.00041099999999999996,1.6e-07,3.5000000000000004e-05,0.0006,63.0,0.0,1.6e-06,0.00092,3.2e-06,57.81,0.00024
"Cream, light whipping, fluid",0.075,0.0,0.079,0.46,0.165,0.0,0.0,1.083,0.0,0.069,0.0,0.0,2.96,0.0,5.9999999999999995e-05,0.111,0.016800000000000002,0.0,0.0,0.0,0.0,0.0,0.0,7e-06,0.0,0.02,0.629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.91,0.0,0.0,0.0,0.0,3e-06,4e-06,0.0,0.0,0.0,0.0,0.454,0.046,0.0,0.0,8.84,1.01,0.302,0.059,0.0,0.0,3e-05,0.131,0.0,0.213,0.0,0.0,0.172,0.007,0.0,1e-06,0.0,0.054,9.093,4.2000000000000004e-05,0.0,0.618,3.37,0.0,0.266,7.658,0.309,0.000259,0.0,0.0,0.105,0.061,0.0,0.884,0.097,0.21,2.17,0.000125,19.337,5e-07,0.118,100.0,0.034,0.0,0.0,0.0,2.96,0.0,0.0,3.29,0.0,0.0,2.4e-05,0.098,0.00088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.105,0.0,0.145,1013.0,0.000279,2e-07,2.8e-05,0.0006,23.0,0.0,6e-07,0.00088,2.7e-06,63.5,0.00025
"Cream, lowfat, half and half",0.0,0.0,0.0,0.51,0.0,0.0,0.0,0.119,0.0,0.133,0.0,0.0,3.33,0.0,1.1e-05,0.017,0.0187,0.0,0.0,0.0,0.0,0.0,0.0,9e-06,0.0,0.0,0.146,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.0,0.0,0.001,0.009,0.01,5.0,0.0,0.0,0.0,0.0,0.0,3e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.544,0.118,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,1.526,0.000109,0.0,0.224,0.588,0.0,0.02,1.398,0.061,0.0,0.0,0.0,0.0,0.095,0.0,0.257,0.132,0.0,3.33,0.000194,3.276,3.2e-06,0.0,100.0,0.05,0.0,0.0,0.0,3.33,0.0,0.0,0.553,0.0,0.0,3e-05,0.0,0.00012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,4.7e-05,1.8999999999999998e-07,5e-05,0.0,1.0,0.0,0.0,0.00012,6e-07,87.83,0.00039000000000000005
"Cucumber, raw, peeled",0.031,0.0,0.031,0.36,0.037,0.0,0.0001,0.0,0.0,0.014,0.0,0.0,2.16,8e-06,3.1e-05,0.0,0.0057,0.0,0.0,0.0,0.0,0.0,0.0,7.099999999999999e-05,1.8e-05,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.7,1.3e-06,1.4e-05,0.0,0.75,0.0,0.63,0.204,0.025,0.0,0.0,0.01,0.0,0.0,0.002,0.0,0.0,0.00022,0.012,0.0,0.025,1.6e-05,0.0,0.025,0.012,0.0,7.3e-05,0.0,0.012,0.002,3.7e-05,0.0,0.002,0.002,0.0,0.002,0.002,0.0,0.00024,0.0,0.0,0.031,0.021,0.0,0.003,0.136,0.012,0.59,2.5e-05,0.013,1e-07,0.025,100.0,0.002,0.08,0.0,0.0,1.38,0.0,0.0,0.002,0.0,0.0,3.1e-05,0.012,3e-05,0.0,0.0,2e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.002,0.0,0.012,72.0,4e-06,0.0,5.1e-05,0.0032,0.0,0.0,0.0,3e-05,7.2e-06,96.73,0.00017
"Cucumber, raw, with peel",0.024,0.0,0.044,0.38,0.041,0.0,0.0001,0.0,0.0,0.016,0.0,0.0,3.63,1.1e-05,4.4999999999999996e-05,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,4.1e-05,2.6e-05,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.5,1.3e-06,7e-06,0.0,0.87,0.0,0.76,0.196,0.024,0.0,0.0,0.028,0.0,0.0,0.01,0.0,0.0,0.00028000000000000003,0.021,0.0,0.029,2.3e-05,0.0,0.029,0.013000000000000001,0.01,7.9e-05,0.0,0.006,0.005,9.800000000000001e-05,0.0,0.028,0.005,0.0,0.005,0.005,0.0,0.000259,0.0,0.0,0.019,0.024,0.014,0.032,0.147,0.015,0.65,3.3e-05,0.037,3e-07,0.02,100.0,0.002,0.83,0.0,0.03,1.67,0.0,0.0,0.005,0.0,0.0,2.7e-05,0.019,3e-05,1e-05,0.0,3e-05,4e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.011,0.0,0.022,105.0,4.9999999999999996e-06,0.0,4e-05,0.0028,0.0,0.0,0.0,3e-05,1.64e-05,95.23,0.0002
