,18,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Beta-sitosterol,Betaine,Butanoic acid,Caffeine,"Calcium, Ca",Calories,Campesterol,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,"Cis,cis,cis-octadecatrienoic n-3 acid","Cis,cis,cis-octadecatrienoic n-6 acid","Cis,cis-eicosadienoic n-6 acid","Cis,cis-octadecadienoic n-6 acid",Cis-hexadecenoic acid,Cis-octadecenoic acid,"Copper, Cu","Cryptoxanthin, beta",Cystine,Decanoic acid,Dihydrophylloquinone,Docosahexaenoic n-3 acid,Docosanoic acid,Docosapentaenoic n-3 acid,Docosatetraenoic acid,Docosenoic acid,Docosenoic cis acid,Docosenoic trans acid,Dodecanoic acid,Eicosadienoic acid,Eicosadienoic n-3 acid,Eicosadienoic n-6 acid,Eicosanoic acid,Eicosapentaenoic n-3 acid,Eicosatetraenoic acid,Eicosenoic acid,Fat,"Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",Fiber,"Fluoride, F",Folate,Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Heptadecanoic acid,Heptadecenoic acid,Hexadecanoic acid,Hexadecenoic acid,Hexanoic acid,Histidine,Hydroxyproline,Irans-Octadecadienoic acid,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Monounsaturated fatty acids,Niacin,Octadecadienoic CLAs acid,Octadecadienoic acid,Octadecanoic acid,Octadecatetraenoic acid,Octadecatrienoic acid,Octadecenoic acid,Octanoic acid,Pantothenic acid,Pentadecanoic acid,Pentadecenoic acid,Phenylalanine,"Phosphorus, P",Phytosterols,Polyunsaturated fatty acids,"Potassium, K",Proline,Protein,Riboflavin,Saturated fatty acids,"Selenium, Se",Serine,Serving Size,"Sodium, Na",Starch,Stigmasterol,Sucrose,Sugars,Tetracosanoic acid,Tetracosenoic cis acid,Tetradecanoic acid,Tetradecenoic acid,Theobromine,Thiamin,Threonine,"Tocopherol, alpha","Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma","Trans,trans-octadecadienoic acid",Trans-hexadecenoic acid,Trans-octadecadienoic acid,Trans-octadecatrienoic acid,Trans-octadecenoic acid,Tridecanoic acid,Tryptophan,Tyrosine,Uncosapentaenoic acid,Valine,Vitamin A,"Vitamin A, RAE",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E,Vitamin K,Water,"Zinc, Zn"
"Chicken, no broth, canned",,,,0.0 g,,0.80 g,,,5.4 mg,0.000 g,0.00 mg,14.00 mg,185,,0.90 g,0.00 mcg,0.00 mcg,50.00 mg,73.8 mg,,,,,,,0.050 mg,0.00 mcg,,0.000 g,0.0 mcg,0.211 g,,0.011 g,,0.000 g,,,0.011 g,,,,,0.011 g,0.074 g,0.084 g,8.10 g,,,,0.0 g,,2.00 mcg,0.00 mcg,,,,,,,,1.713 g,0.465 g,0.000 g,,,,1.30 mg,,,,0.00 mcg,0.00 mcg,,19.00 mg,,,,,3.279 g,2.400 mg,,1.597 g,0.465 g,0.000 g,0.074 g,2.730 g,0.000 g,,,,,153.00 mg,,1.978 g,153.00 mg,,25.30 g,0.100 mg,2.250 g,18.4 mcg,,100 g,482.00 mg,,,,0.00 g,,,0.063 g,,0.00 mg,0.000 mg,,0.32 mg,,,,,,,,,,,,,,,,,,177.00 IU,53.00 mcg,1.00 mcg,0.190 mg,0.0 mg,5.00 IU,,0.1 mcg,0.32 mg,2.3 mcg,64.90 g,2.50 mg
"Chicken, raw, ground",,,0.991 g,0.0 g,1.128 g,1.17 g,1.616 g,,7.7 mg,0.000 g,0.00 mg,6.00 mg,143,,0.04 g,0.00 mcg,0.00 mcg,86.00 mg,58.8 mg,0.057 g,0.014 g,0.011 g,1.303 g,,2.992 g,0.065 mg,0.00 mcg,0.188 g,0.000 g,,0.023 g,0.000 g,0.008 g,,0.000 g,,,0.000 g,0.000 g,,,0.005 g,0.008 g,0.074 g,0.025 g,8.10 g,0.065 g,0.042 g,0.022 g,0.0 g,,1.00 mcg,0.00 mcg,,,,2.611 g,0.838 g,0.007 g,0.000 g,1.791 g,0.536 g,0.000 g,0.529 g,0.094 g,,0.82 mg,0.794 g,,1.361 g,0.00 mcg,0.00 mcg,1.509 g,21.00 mg,,0.016 mg,,0.446 g,3.611 g,5.575 mg,,1.324 g,0.456 g,0.000 g,0.071 g,3.035 g,0.000 g,1.092 mg,0.000 g,0.000 g,0.683 g,178.00 mg,,1.508 g,522.00 mg,0.658 g,17.44 g,0.241 mg,2.301 g,10.2 mcg,0.731 g,100 g,60.00 mg,,,,0.00 g,,,0.041 g,0.016 g,0.00 mg,0.109 mg,0.727 g,0.27 mg,0.00 mg,0.03 mg,0.17 mg,0.05 mg,0.00 mg,0.00 mg,0.00 mg,0.022 g,,,,0.042 g,,0.147 g,0.604 g,,0.826 g,0.00 IU,0.00 mcg,0.56 mcg,0.512 mg,0.0 mg,,,,0.27 mg,0.8 mcg,73.24 g,1.47 mg
"Chicken, raw, meat only, wing, broilers or fryers",,,1.199 g,0.0 g,1.325 g,0.83 g,1.958 g,,8.5 mg,0.000 g,0.00 mg,13.00 mg,126,,0.00 g,0.00 mcg,0.00 mcg,57.00 mg,65.8 mg,,,,,,,0.041 mg,0.00 mcg,0.281 g,0.000 g,,0.050 g,,0.030 g,,0.000 g,,,0.010 g,,,,,0.010 g,0.120 g,0.010 g,3.54 g,0.070 g,,,0.0 g,,4.00 mcg,0.00 mcg,,,,3.290 g,1.079 g,,,0.600 g,0.080 g,0.000 g,0.682 g,,,0.88 mg,1.160 g,,1.649 g,0.00 mcg,0.00 mcg,1.866 g,22.00 mg,,0.018 mg,,0.608 g,0.850 g,7.359 mg,,0.470 g,0.290 g,0.000 g,0.020 g,0.730 g,0.000 g,0.836 mg,,,0.872 g,155.00 mg,,0.800 g,194.00 mg,0.903 g,21.97 g,0.101 mg,0.940 g,17.8 mcg,0.756 g,100 g,81.00 mg,,,,0.00 g,,,0.030 g,,0.00 mg,0.059 mg,0.928 g,0.13 mg,,,,,,,,,,,,,,0.257 g,0.742 g,,1.090 g,59.00 IU,18.00 mcg,0.38 mcg,0.530 mg,1.2 mg,5.00 IU,,0.1 mcg,0.13 mg,0.0 mcg,74.95 g,1.63 mg
"Chicken, with broth, meat only, canned",,,1.258 g,0.0 g,1.355 g,1.81 g,1.926 g,,4.7 mg,0.000 g,0.00 mg,14.00 mg,165,,0.00 g,0.00 mcg,0.00 mcg,62.00 mg,64.0 mg,,,,,,,0.046 mg,0.00 mcg,0.297 g,0.000 g,0.0 mcg,0.020 g,,0.010 g,,0.000 g,,,0.010 g,,,,,0.010 g,0.070 g,0.080 g,7.95 g,,,,0.0 g,,4.00 mcg,0.00 mcg,,,,3.173 g,1.389 g,,,1.620 g,0.440 g,0.000 g,0.636 g,,,1.58 mg,1.085 g,,1.578 g,0.00 mcg,0.00 mcg,1.764 g,12.00 mg,,0.015 mg,,0.574 g,3.150 g,6.329 mg,,1.510 g,0.440 g,0.000 g,0.070 g,2.590 g,0.000 g,0.850 mg,,,0.842 g,111.00 mg,,1.750 g,138.00 mg,1.040 g,21.77 g,0.129 mg,2.200 g,15.8 mcg,0.762 g,100 g,503.00 mg,,,,0.00 g,,,0.060 g,,0.00 mg,0.015 mg,0.895 g,0.26 mg,,,,,,,,,,,,,,0.243 g,0.699 g,,1.052 g,117.00 IU,34.00 mcg,0.29 mcg,0.350 mg,2.0 mg,5.00 IU,,0.1 mcg,0.26 mg,1.8 mcg,68.65 g,1.41 mg
"Chives, freeze-dried",,,0.957 g,0.0 g,1.533 g,9.01 g,1.961 g,,,0.000 g,,813.00 mg,311,,64.29 g,,,0.00 mg,,,,,,,,0.686 mg,,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,3.50 g,0.000 g,,,26.2 g,,108.00 mcg,0.00 mcg,,,,4.386 g,1.052 g,,,0.528 g,0.000 g,0.000 g,0.366 g,,,20.00 mg,0.899 g,,1.265 g,,,1.058 g,640.00 mg,,1.350 mg,,0.231 g,0.490 g,5.900 mg,,1.296 g,0.046 g,0.000 g,0.073 g,0.490 g,0.000 g,2.106 mg,,,0.682 g,518.00 mg,,1.369 g,2960.00 mg,1.401 g,21.20 g,1.500 mg,0.591 g,9.4 mcg,0.957 g,100 g,70.00 mg,,,,,,,0.017 g,,,0.900 mg,0.831 g,,,,,,,,,,,,,,,0.237 g,0.614 g,,0.936 g,68300.00 IU,3415.00 mcg,0.00 mcg,1.996 mg,660.0 mg,0.00 IU,,,,,2.00 g,5.12 mg
"Chives, raw",,,0.148 g,0.0 g,0.237 g,1.00 g,0.303 g,,,0.000 g,0.00 mg,92.00 mg,30,,4.35 g,0.00 mcg,2612.00 mcg,0.00 mg,5.2 mg,,,,,,,0.157 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.73 g,0.000 g,,,2.5 g,,105.00 mcg,0.00 mcg,,,,0.677 g,0.162 g,,,0.103 g,0.000 g,0.000 g,0.057 g,,,1.60 mg,0.139 g,,0.195 g,323.00 mcg,0.00 mcg,0.163 g,42.00 mg,,0.373 mg,,0.036 g,0.095 g,0.647 mg,,0.252 g,0.009 g,0.000 g,0.015 g,0.095 g,0.000 g,0.324 mg,,,0.105 g,58.00 mg,9.00 mg,0.267 g,296.00 mg,0.216 g,3.27 g,0.115 mg,0.146 g,0.9 mcg,0.148 g,100 g,3.00 mg,,,,1.85 g,,,0.034 g,,0.00 mg,0.078 mg,0.128 g,0.21 mg,,,,,,,,,,,,,,0.037 g,0.095 g,,0.145 g,4353.00 IU,218.00 mcg,0.00 mcg,0.138 mg,58.1 mg,0.00 IU,,,0.21 mg,212.7 mcg,90.65 g,0.56 mg
"Cinnamon buns, frosted (includes honey buns)",,,0.180 g,0.0 g,0.218 g,1.36 g,0.297 g,,24.1 mg,0.007 g,0.00 mg,183.00 mg,452,,48.60 g,0.00 mcg,1.00 mcg,5.00 mg,10.6 mg,0.225 g,0.000 g,0.006 g,3.352 g,0.052 g,8.377 g,0.062 mg,0.00 mcg,0.093 g,0.026 g,4.1 mcg,0.000 g,0.029 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.117 g,0.000 g,0.000 g,0.000 g,0.094 g,0.002 g,0.006 g,0.064 g,26.61 g,0.295 g,0.223 g,0.072 g,1.2 g,,72.00 mcg,53.00 mcg,1.11 g,0.00 g,3.05 g,1.553 g,0.172 g,0.030 g,0.007 g,10.152 g,0.052 g,0.000 g,0.126 g,,,1.37 mg,0.226 g,0.00 g,0.410 g,6.00 mcg,0.00 mcg,0.215 g,14.00 mg,1.43 g,0.292 mg,,0.104 g,8.723 g,2.404 mg,0.011 g,3.436 g,1.884 g,0.000 g,0.225 g,8.599 g,0.013 g,0.337 mg,0.014 g,0.000 g,0.264 g,131.00 mg,,3.676 g,102.00 mg,0.568 g,4.45 g,0.138 mg,12.649 g,13.0 mcg,0.273 g,100 g,305.00 mg,16.39 g,,20.11 g,25.70 g,0.021 g,0.000 g,0.261 g,0.000 g,0.00 mg,0.211 mg,0.176 g,1.15 mg,0.10 mg,0.83 mg,2.13 mg,0.46 mg,0.39 mg,0.37 mg,0.71 mg,,0.000 g,0.072 g,,0.223 g,,0.068 g,0.189 g,,0.255 g,2.00 IU,0.00 mcg,0.16 mcg,0.038 mg,0.3 mg,0.00 IU,,,1.15 mg,15.2 mcg,18.98 g,0.53 mg
"Cocoa mix, Rich Chocolate Hot Cocoa Mix, NESTLE",,,,,,3.27 g,,,,,,100.00 mg,400,,75.00 g,,,0.00 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.00 g,0.250 g,,,4.0 g,,,,,,,,,,,,,,,,,1.80 mg,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00 mg,,3.00 g,,10.000 g,,,100 g,850.00 mg,,,,60.00 g,,,,,,,,,,,,,,,,,,,,,,,,,,11.00 IU,,,,0.0 mg,,,,,,3.73 g,
"Cocoa, plain, hi-fat or breakfast, dry powder",,,,0.0 g,,5.10 g,,,,0.000 g,197.00 mg,122.00 mg,486,,51.39 g,0.00 mcg,0.00 mcg,0.00 mg,11.9 mg,,,,,,,3.610 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,23.71 g,,,,29.8 g,,38.00 mcg,0.00 mcg,,,,,,,,5.787 g,0.000 g,0.000 g,,,,14.50 mg,,,,34.00 mcg,0.00 mcg,,519.00 mg,,,,,7.380 g,1.800 mg,,0.769 g,6.700 g,0.000 g,0.000 g,7.380 g,0.000 g,,,,,758.00 mg,,0.769 g,1574.00 mg,,16.80 g,0.370 mg,12.640 g,12.3 mcg,,100 g,20.00 mg,,,,1.55 g,,,0.028 g,,1763.00 mg,0.080 mg,,0.09 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.190 mg,0.0 mg,0.00 IU,,,0.09 mg,2.3 mcg,3.00 g,6.70 mg
"Cocoa, unsweetened, dry powder",,,0.904 g,0.0 g,1.111 g,5.80 g,1.953 g,,,0.000 g,230.00 mg,128.00 mg,228,,57.90 g,0.00 mcg,0.00 mcg,0.00 mg,12.0 mg,,,,,,,3.788 mg,0.00 mcg,0.239 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,13.70 g,,,,37.0 g,,32.00 mcg,0.00 mcg,,,,2.948 g,0.879 g,,,3.690 g,0.000 g,0.000 g,0.339 g,,,13.86 mg,0.760 g,,1.189 g,38.00 mcg,0.00 mcg,0.983 g,499.00 mg,,3.837 mg,,0.202 g,4.570 g,2.185 mg,,0.440 g,4.250 g,0.000 g,0.000 g,4.570 g,0.000 g,0.254 mg,,,0.941 g,734.00 mg,,0.440 g,1524.00 mg,0.838 g,19.60 g,0.241 mg,8.070 g,14.3 mcg,0.846 g,100 g,21.00 mg,,,,1.75 g,,,0.020 g,,2057.00 mg,0.078 mg,0.776 g,0.10 mg,,,,,,,,,,,,,,0.293 g,0.735 g,,1.177 g,0.00 IU,0.00 mcg,0.00 mcg,0.118 mg,0.0 mg,0.00 IU,,,0.10 mg,2.5 mcg,3.00 g,6.81 mg
"Cookies, chocolate-coated, graham crackers",,,0.134 g,0.0 g,0.154 g,1.42 g,0.220 g,,,0.004 g,3.00 mg,46.00 mg,500,,66.78 g,0.00 mcg,0.00 mcg,1.00 mg,22.3 mg,,,,,,,0.194 mg,0.00 mcg,0.071 g,0.769 g,,0.000 g,0.000 g,0.000 g,,0.000 g,,,9.741 g,0.001 g,,,0.000 g,0.000 g,0.000 g,0.000 g,25.80 g,0.550 g,,,2.2 g,,50.00 mcg,38.00 mcg,,,,1.058 g,0.131 g,0.000 g,0.000 g,1.832 g,0.002 g,0.043 g,0.079 g,,,2.00 mg,0.142 g,,0.264 g,13.00 mcg,0.00 mcg,0.131 g,16.00 mg,,0.464 mg,,0.063 g,2.700 g,1.700 mg,,4.506 g,0.704 g,0.000 g,0.053 g,2.689 g,0.685 g,0.377 mg,0.001 g,0.000 g,0.178 g,87.00 mg,,4.900 g,267.00 mg,0.362 g,4.00 g,0.150 mg,17.200 g,11.1 mcg,0.182 g,100 g,265.00 mg,,,,37.30 g,,,3.406 g,0.000 g,88.00 mg,0.270 mg,0.126 g,0.99 mg,,,,,,,,,,,,,0.000 g,0.049 g,0.118 g,,0.170 g,8.00 IU,2.00 mcg,0.10 mcg,0.064 mg,0.1 mg,1.00 IU,,,0.99 mg,6.4 mcg,2.00 g,0.20 mg
"Cookies, coconut macaroon",,,,0.0 g,,1.71 g,,,,0.000 g,0.00 mg,5.00 mg,460,,61.22 g,0.00 mcg,0.00 mcg,0.00 mg,9.1 mg,,,,,,,0.269 mg,0.00 mcg,,1.256 g,,0.000 g,,0.000 g,,0.000 g,,,10.009 g,,,,,0.000 g,0.000 g,0.000 g,22.55 g,,,,5.1 g,,3.00 mcg,0.00 mcg,,,,,,,,1.987 g,0.004 g,0.128 g,,,,0.82 mg,,,,0.00 mcg,0.00 mcg,,29.00 mg,,,,,1.610 g,0.220 mg,,0.762 g,1.186 g,0.000 g,0.048 g,1.606 g,1.580 g,,,,,68.00 mg,,0.810 g,123.00 mg,,3.02 g,0.060 mg,20.099 g,6.8 mcg,,100 g,241.00 mg,,,,45.16 g,,,3.953 g,,0.00 mg,0.020 mg,,0.19 mg,,,,,,,,,,,,,,,,,,0.00 IU,0.00 mcg,0.00 mcg,0.096 mg,0.0 mg,0.00 IU,,,0.19 mg,1.1 mcg,11.50 g,0.73 mg
"Cookies, dry mix, chocolate chip",,,0.143 g,,0.166 g,1.20 g,0.232 g,,,0.000 g,12.00 mg,43.00 mg,497,,66.10 g,,,0.00 mg,,,,,,,,0.300 mg,,0.084 g,0.000 g,,,,0.000 g,,0.000 g,,,0.011 g,,,,,0.000 g,,0.000 g,25.20 g,,,,,,51.00 mcg,45.00 mcg,,,,1.397 g,0.146 g,,,3.996 g,0.018 g,0.000 g,0.089 g,,,2.07 mg,0.189 g,,0.337 g,,,0.184 g,36.00 mg,,0.363 mg,,0.081 g,13.077 g,1.990 mg,,2.486 g,4.116 g,0.000 g,0.134 g,13.061 g,0.000 g,0.171 mg,,,0.224 g,80.00 mg,,2.620 g,208.00 mg,0.484 g,4.60 g,0.205 mg,8.316 g,2.4 mcg,0.235 g,100 g,290.00 mg,,,,,,,0.125 g,,91.00 mg,0.195 mg,0.141 g,,,,,,,,,,,,,,,0.064 g,0.148 g,,0.222 g,4.00 IU,0.00 mcg,0.00 mcg,0.017 mg,0.0 mg,,,,,,3.00 g,0.60 mg
"Cookies, lowfat, plain or honey, graham crackers",,,,0.0 g,,2.60 g,,,,0.000 g,0.00 mg,429.00 mg,386,,77.96 g,0.00 mcg,2.00 mcg,0.00 mg,12.3 mg,,,0.000 g,,,,0.197 mg,0.00 mcg,,0.000 g,,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,,,0.000 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.004 g,5.71 g,0.000 g,,,5.7 g,,80.00 mcg,54.00 mcg,,,,,,0.000 g,0.000 g,0.000 g,0.012 g,0.000 g,,,,3.09 mg,,,,105.00 mcg,0.00 mcg,,56.00 mg,,,,,1.718 g,3.818 mg,,3.157 g,0.000 g,0.000 g,0.210 g,1.701 g,0.000 g,,0.000 g,0.000 g,,163.00 mg,,3.367 g,171.00 mg,,5.71 g,0.236 mg,0.000 g,33.7 mcg,,100 g,629.00 mg,,,,22.86 g,0.000 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.453 mg,,0.86 mg,,,,,,,,,,,,,,,,0.000 g,,4.00 IU,0.00 mcg,0.00 mcg,0.158 mg,0.0 mg,0.00 IU,,,0.86 mg,2.5 mcg,8.01 g,1.16 mg
"Coriander (cilantro) leaves, raw",,,,0.0 g,,1.47 g,,2.00 mg,,0.000 g,0.00 mg,67.00 mg,23,0.00 mg,3.67 g,36.00 mcg,3930.00 mcg,0.00 mg,12.8 mg,,,,,,,0.225 mg,202.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.52 g,0.000 g,,,2.8 g,,62.00 mcg,0.00 mcg,,,,,,,,0.012 g,0.002 g,0.000 g,,,,1.77 mg,,,,865.00 mcg,0.00 mcg,,26.00 mg,,0.426 mg,,,0.275 g,1.114 mg,,0.040 g,0.001 g,0.000 g,0.000 g,0.273 g,0.000 g,0.570 mg,,,,48.00 mg,5.00 mg,0.040 g,521.00 mg,,2.13 g,0.162 mg,0.014 g,0.9 mcg,,100 g,46.00 mg,,3.00 mg,,0.87 g,,,0.000 g,,0.00 mg,0.067 mg,,2.50 mg,,,,,,,,,,,,,,,,,,6748.00 IU,337.00 mcg,0.00 mcg,0.149 mg,27.0 mg,0.00 IU,,,2.50 mg,310.0 mcg,92.21 g,0.50 mg
"Corn bran, crude",,,,0.0 g,,0.36 g,,,4.6 mg,0.000 g,0.00 mg,42.00 mg,224,,85.64 g,21.00 mcg,32.00 mcg,0.00 mg,18.1 mg,,,,,,,0.248 mg,0.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.92 g,,,,79.0 g,,4.00 mcg,0.00 mcg,,,,,,,,0.111 g,0.001 g,0.000 g,,,,2.79 mg,,,,1355.00 mcg,0.00 mcg,,64.00 mg,,0.140 mg,,,0.243 g,2.735 mg,,0.408 g,0.015 g,0.000 g,0.013 g,0.243 g,0.000 g,0.636 mg,,,,72.00 mg,,0.421 g,44.00 mg,,8.36 g,0.100 mg,0.130 g,16.5 mcg,,100 g,7.00 mg,,,,0.00 g,,,0.000 g,,0.00 mg,0.010 mg,,0.42 mg,,,,,,,,,,,,,,,,,,71.00 IU,4.00 mcg,0.00 mcg,0.152 mg,0.0 mg,0.00 IU,,,0.42 mg,0.3 mcg,4.71 g,1.56 mg
"Corn grain, white",,,0.705 g,,0.470 g,1.20 g,0.655 g,,,,,7.00 mg,365,,74.26 g,,,0.00 mg,,,,,,,,0.314 mg,,0.170 g,,,,,,,,,,,,,,,,,,4.74 g,,,,,,,,,,,1.768 g,0.386 g,,,0.569 g,0.004 g,,0.287 g,,,2.71 mg,0.337 g,,1.155 g,,,0.265 g,127.00 mg,,0.485 mg,,0.197 g,1.251 g,3.627 mg,,2.097 g,0.075 g,,0.065 g,1.247 g,,0.424 mg,,,0.463 g,210.00 mg,,2.163 g,287.00 mg,0.822 g,9.42 g,0.201 mg,0.667 g,15.5 mcg,0.447 g,100 g,35.00 mg,,,,,,,,,,0.385 mg,0.354 g,,,,,,,,,,,,,,,0.067 g,0.383 g,,0.477 g,0.00 IU,0.00 mcg,0.00 mcg,0.622 mg,0.0 mg,0.00 IU,,,,,10.37 g,2.21 mg
"Corn grain, yellow",,,0.705 g,0.0 g,0.470 g,1.20 g,0.655 g,,,,0.00 mg,7.00 mg,365,,74.26 g,63.00 mcg,97.00 mcg,0.00 mg,,,,,,,,0.314 mg,0.00 mcg,0.170 g,,,,,,,,,,,,,,,,,,4.74 g,,,,7.3 g,,19.00 mcg,0.00 mcg,,,,1.768 g,0.386 g,,,0.569 g,0.004 g,,0.287 g,,,2.71 mg,0.337 g,,1.155 g,1355.00 mcg,0.00 mcg,0.265 g,127.00 mg,,0.485 mg,,0.197 g,1.251 g,3.627 mg,,2.097 g,0.075 g,,0.065 g,1.247 g,,0.424 mg,,,0.463 g,210.00 mg,,2.163 g,287.00 mg,0.822 g,9.42 g,0.201 mg,0.667 g,15.5 mcg,0.447 g,100 g,35.00 mg,,,,0.64 g,,,,,0.00 mg,0.385 mg,0.354 g,0.49 mg,,,,,,,,,,,,,,0.067 g,0.383 g,,0.477 g,214.00 IU,11.00 mcg,0.00 mcg,0.622 mg,0.0 mg,0.00 IU,,,0.49 mg,0.3 mcg,10.37 g,2.21 mg
"Cornmeal, blue (Navajo)",,,,,,1.54 g,,,,,,5.00 mg,398,,76.93 g,,,,,0.061 g,0.000 g,0.000 g,,,,0.218 mg,,,0.000 g,0.0 mcg,,0.016 g,,,,,,0.000 g,0.000 g,,,0.025 g,,0.000 g,0.015 g,5.44 g,,,,8.7 g,,58.00 mcg,,0.12 g,0.00 g,0.16 g,,,0.000 g,0.000 g,0.713 g,0.003 g,,,,,2.91 mg,,0.00 g,,,,,133.00 mg,0.00 g,0.758 mg,,,1.679 g,2.020 mg,,2.404 g,0.132 g,,0.000 g,1.661 g,0.000 g,0.353 mg,0.000 g,0.000 g,,354.00 mg,,2.465 g,393.00 mg,,10.40 g,0.107 mg,0.886 g,11.8 mcg,,100 g,7.00 mg,63.62 g,,1.53 g,1.81 g,,,0.000 g,0.000 g,,0.285 mg,,0.73 mg,0.00 mg,0.37 mg,3.21 mg,0.37 mg,0.00 mg,0.00 mg,0.55 mg,,,,,,,,,,,,,,0.593 mg,0.0 mg,,,,0.73 mg,0.0 mcg,5.70 g,2.91 mg
"Cornmeal, white (Navajo)",,,0.836 g,,0.474 g,1.40 g,0.724 g,,,,,11.00 mg,398,,77.14 g,,,,,0.054 g,0.000 g,0.000 g,,,,0.219 mg,,0.217 g,0.000 g,0.6 mcg,,0.020 g,,,,,,0.000 g,0.000 g,,,0.029 g,,0.000 g,0.017 g,5.04 g,,,,10.4 g,,32.00 mcg,0.00 mcg,0.11 g,0.00 g,0.18 g,2.043 g,0.399 g,0.000 g,0.000 g,0.671 g,0.000 g,,0.292 g,,,3.79 mg,0.404 g,0.00 g,1.375 g,,,0.319 g,125.00 mg,0.00 g,0.646 mg,,0.258 g,1.532 g,2.800 mg,,2.024 g,0.133 g,,0.054 g,1.515 g,0.000 g,2.490 mg,0.000 g,0.000 g,0.543 g,280.00 mg,,2.078 g,443.00 mg,0.906 g,10.99 g,0.137 mg,0.853 g,,0.510 g,100 g,4.00 mg,60.46 g,,1.16 g,1.46 g,,,0.000 g,0.000 g,,0.310 mg,0.345 g,0.37 mg,0.00 mg,0.52 mg,5.06 mg,0.58 mg,0.00 mg,0.00 mg,1.08 mg,,,,,,,0.070 g,0.412 g,,0.554 g,,,,0.583 mg,0.0 mg,,,,0.37 mg,0.4 mcg,5.42 g,3.24 mg
"Cornmeal, yellow (Navajo)",,,0.769 g,,0.421 g,1.22 g,0.662 g,,,,,6.00 mg,384,,72.90 g,,,,,0.060 g,0.000 g,0.000 g,,,,0.242 mg,,0.184 g,0.000 g,0.0 mcg,,0.013 g,,,,,,0.000 g,0.000 g,,,0.033 g,,0.000 g,0.017 g,5.88 g,,,,9.4 g,,34.00 mcg,0.00 mcg,0.15 g,0.00 g,0.22 g,1.875 g,0.360 g,0.000 g,0.000 g,0.778 g,0.000 g,,0.265 g,,,2.99 mg,0.370 g,0.00 g,1.275 g,,,0.301 g,107.00 mg,0.00 g,0.641 mg,,0.230 g,2.143 g,2.470 mg,,2.292 g,0.219 g,,0.060 g,2.126 g,0.000 g,0.595 mg,0.000 g,0.000 g,0.499 g,225.00 mg,,2.352 g,322.00 mg,0.854 g,9.85 g,0.093 mg,1.043 g,6.0 mcg,0.471 g,100 g,4.00 mg,61.94 g,,1.20 g,1.56 g,,,0.000 g,0.000 g,,0.300 mg,0.307 g,0.37 mg,0.00 mg,0.37 mg,4.86 mg,0.37 mg,0.00 mg,0.00 mg,0.99 mg,,,,,,,0.050 g,0.294 g,,0.494 g,,,,0.590 mg,0.0 mg,,,,0.37 mg,0.2 mcg,10.15 g,3.10 mg
